Entity,Code,Year,Urban (%),GDP per capita (int.-$) ($),Population
Afghanistan,AFG,1800,,,3280000.0
Afghanistan,AFG,1801,,,3280000.0
Afghanistan,AFG,1802,,,3280000.0
Afghanistan,AFG,1803,,,3280000.0
Afghanistan,AFG,1804,,,3280000.0
Afghanistan,AFG,1805,,,3280000.0
Afghanistan,AFG,1806,,,3280000.0
Afghanistan,AFG,1808,,,3280000.0
Afghanistan,AFG,1809,,,3280000.0
Afghanistan,AFG,1810,,,3280000.0
Afghanistan,AFG,1811,,,3280779.0
Afghanistan,AFG,1812,,,3282342.0
Afghanistan,AFG,1814,,,3287834.0
Afghanistan,AFG,1815,,,3291770.0
Afghanistan,AFG,1816,,,3296506.0
Afghanistan,AFG,1817,,,3302044.0
Afghanistan,AFG,1818,,,3308390.0
Afghanistan,AFG,1819,,,3315547.0
Afghanistan,AFG,1820,,,3323519.0
Afghanistan,AFG,1821,,,3332311.0
Afghanistan,AFG,1822,,,3341926.0
Afghanistan,AFG,1823,,,3352368.0
Afghanistan,AFG,1824,,,3363642.0
Afghanistan,AFG,1825,,,3375751.0
Afghanistan,AFG,1826,,,3388701.0
Afghanistan,AFG,1827,,,3402494.0
Afghanistan,AFG,1828,,,3417136.0
Afghanistan,AFG,1829,,,3432630.0
Afghanistan,AFG,1830,,,3448982.0
Afghanistan,AFG,1831,,,3466194.0
Afghanistan,AFG,1832,,,3483492.0
Afghanistan,AFG,1833,,,3500877.0
Afghanistan,AFG,1834,,,3518348.0
Afghanistan,AFG,1835,,,3535906.0
Afghanistan,AFG,1836,,,3553552.0
Afghanistan,AFG,1837,,,3571286.0
Afghanistan,AFG,1838,,,3589109.0
Afghanistan,AFG,1839,,,3607021.0
Afghanistan,AFG,1840,,,3625022.0
Afghanistan,AFG,1841,,,3643112.0
Afghanistan,AFG,1842,,,3661294.0
Afghanistan,AFG,1843,,,3679565.0
Afghanistan,AFG,1845,,,3716383.0
Afghanistan,AFG,1846,,,3734930.0
Afghanistan,AFG,1849,,,3791127.0
Afghanistan,AFG,1850,,,3810047.0
Afghanistan,AFG,1852,,,3842299.0
Afghanistan,AFG,1853,,,3858524.0
Afghanistan,AFG,1854,,,3874815.0
Afghanistan,AFG,1855,,,3891173.0
Afghanistan,AFG,1856,,,3907598.0
Afghanistan,AFG,1857,,,3924089.0
Afghanistan,AFG,1862,,,4008889.0
Afghanistan,AFG,1863,,,4027125.0
Afghanistan,AFG,1864,,,4045883.0
Afghanistan,AFG,1865,,,4065170.0
Afghanistan,AFG,1866,,,4084989.0
Afghanistan,AFG,1867,,,4105346.0
Afghanistan,AFG,1868,,,4126245.0
Afghanistan,AFG,1869,,,4147692.0
Afghanistan,AFG,1871,,,4192245.0
Afghanistan,AFG,1872,,,4215362.0
Afghanistan,AFG,1873,,,4236341.0
Afghanistan,AFG,1875,,,4285744.0
Afghanistan,AFG,1876,,,4311388.0
Afghanistan,AFG,1877,,,4336107.0
Afghanistan,AFG,1878,,,4363439.0
Afghanistan,AFG,1879,,,4391478.0
Afghanistan,AFG,1880,,,4419695.0
Afghanistan,AFG,1881,,,4447479.0
Afghanistan,AFG,1882,,,4476050.0
Afghanistan,AFG,1884,,,4533190.0
Afghanistan,AFG,1885,,,4562304.0
Afghanistan,AFG,1886,,,4591602.0
Afghanistan,AFG,1887,,,4620608.0
Afghanistan,AFG,1888,,,4650274.0
Afghanistan,AFG,1889,,,4680128.0
Afghanistan,AFG,1890,,,4710171.0
Afghanistan,AFG,1891,,,4740404.0
Afghanistan,AFG,1893,,,4801444.0
Afghanistan,AFG,1894,,,4832253.0
Afghanistan,AFG,1895,,,4863258.0
Afghanistan,AFG,1896,,,4894458.0
Afghanistan,AFG,1897,,,4925855.0
Afghanistan,AFG,1898,,,4957450.0
Afghanistan,AFG,1899,,,4989245.0
Afghanistan,AFG,1900,,,5021241.0
Afghanistan,AFG,1902,,,5085403.0
Afghanistan,AFG,1903,,,5118005.0
Afghanistan,AFG,1904,,,5150814.0
Afghanistan,AFG,1906,,,5217053.0
Afghanistan,AFG,1907,,,5249854.0
Afghanistan,AFG,1908,,,5283495.0
Afghanistan,AFG,1909,,,5317347.0
Afghanistan,AFG,1910,,,5351413.0
Afghanistan,AFG,1911,,,5385509.0
Afghanistan,AFG,1912,,,5420004.0
Afghanistan,AFG,1913,,,5459010.0
Afghanistan,AFG,1914,,,5502589.0
Afghanistan,AFG,1916,,,5599440.0
Afghanistan,AFG,1917,,,5648497.0
Afghanistan,AFG,1918,,,5704092.0
Afghanistan,AFG,1919,,,5758692.0
Afghanistan,AFG,1920,,,5813814.0
Afghanistan,AFG,1921,,,5869464.0
Afghanistan,AFG,1922,,,5925647.0
Afghanistan,AFG,1924,,,6039631.0
Afghanistan,AFG,1925,,,6097443.0
Afghanistan,AFG,1926,,,6155808.0
Afghanistan,AFG,1927,,,6214731.0
Afghanistan,AFG,1928,,,6274219.0
Afghanistan,AFG,1929,,,6334276.0
Afghanistan,AFG,1930,,,6394908.0
Afghanistan,AFG,1931,,,6456120.0
Afghanistan,AFG,1933,,,6580308.0
Afghanistan,AFG,1934,,,6643295.0
Afghanistan,AFG,1935,,,6706885.0
Afghanistan,AFG,1936,,,6771083.0
Afghanistan,AFG,1937,,,6835896.0
Afghanistan,AFG,1939,,,6967389.0
Afghanistan,AFG,1940,,,7034081.0
Afghanistan,AFG,1941,,,7101412.0
Afghanistan,AFG,1942,,,7169387.0
Afghanistan,AFG,1943,,,7238012.0
Afghanistan,AFG,1944,,,7307295.0
Afghanistan,AFG,1945,,,7377241.0
Afghanistan,AFG,1946,,,7447856.0
Afghanistan,AFG,1947,,,7519147.0
Afghanistan,AFG,1948,,,7591120.0
Afghanistan,AFG,1949,,,7663783.0
Afghanistan,AFG,1950,6.0,2392.0,7752000.0
Afghanistan,AFG,1951,6.208,2422.0,7840000.0
Afghanistan,AFG,1953,6.643,2568.0,8040000.0
Afghanistan,AFG,1954,6.872,2576.0,8151000.0
Afghanistan,AFG,1955,7.107,2579.0,8271000.0
Afghanistan,AFG,1956,7.351,2644.0,8399000.0
Afghanistan,AFG,1957,7.601,2593.0,8535000.0
Afghanistan,AFG,1958,7.86,2684.0,8680000.0
Afghanistan,AFG,1959,8.126,2705.0,8834000.0
Afghanistan,AFG,1960,8.401,2744.0,8997000.0
Afghanistan,AFG,1961,8.684,2708.0,9169000.0
Afghanistan,AFG,1962,8.976,2695.0,9351000.0
Afghanistan,AFG,1963,9.276,2683.0,9543000.0
Afghanistan,AFG,1964,9.586,2673.0,9745000.0
Afghanistan,AFG,1965,9.904,2670.0,9956000.0
Afghanistan,AFG,1966,10.233,2633.0,10175000.0
Afghanistan,AFG,1967,10.57,2642.0,10400000.0
Afghanistan,AFG,1969,11.275,2646.0,10894000.0
Afghanistan,AFG,1970,11.643,2632.0,11174000.0
Afghanistan,AFG,1971,12.021,2560.0,11475000.0
Afghanistan,AFG,1972,12.41,2086.0,11791000.0
Afghanistan,AFG,1973,12.809,2091.0,12109000.0
Afghanistan,AFG,1974,13.219,2149.0,12413000.0
Afghanistan,AFG,1975,13.641,2225.0,12689000.0
Afghanistan,AFG,1976,14.074,2286.0,12943000.0
Afghanistan,AFG,1978,14.973,2215.0,13341000.0
Afghanistan,AFG,1979,15.442,2118.0,13411000.0
Afghanistan,AFG,1980,15.995,2108.0,13357000.0
Afghanistan,AFG,1981,16.562,2369.0,13172000.0
Afghanistan,AFG,1982,17.147,2628.0,12883000.0
Afghanistan,AFG,1983,17.747,2789.0,12538000.0
Afghanistan,AFG,1984,18.365,2766.0,12204000.0
Afghanistan,AFG,1985,18.997,2700.0,11938000.0
Afghanistan,AFG,1986,19.647,2779.0,11736000.0
Afghanistan,AFG,1987,20.314,2507.0,11605000.0
Afghanistan,AFG,1988,20.998,2280.0,11618000.0
Afghanistan,AFG,1989,21.088,2067.0,11869000.0
Afghanistan,AFG,1990,21.177,1992.0,12412000.0
Afghanistan,AFG,1992,21.355,1629.0,14486000.0
Afghanistan,AFG,1993,21.444,1080.0,15817000.0
Afghanistan,AFG,1994,21.534,772.0,17076000.0
Afghanistan,AFG,1995,21.624,1101.0,18111000.0
Afghanistan,AFG,1996,21.714,1008.0,18853000.0
Afghanistan,AFG,1998,21.895,856.0,19738000.0
Afghanistan,AFG,1999,21.986,787.0,20171000.0
Afghanistan,AFG,2000,22.078,735.0,20780000.0
Afghanistan,AFG,2001,22.169,692.0,21607000.0
Afghanistan,AFG,2002,22.261,1088.0,22601000.0
Afghanistan,AFG,2003,22.353,1112.0,23681000.0
Afghanistan,AFG,2004,22.5,1107.0,24727000.0
Afghanistan,AFG,2005,22.703,1187.0,25654000.0
Afghanistan,AFG,2006,22.907,1257.0,26433000.0
Afghanistan,AFG,2007,23.113,1447.0,27101000.0
Afghanistan,AFG,2008,23.32,1464.0,27722000.0
Afghanistan,AFG,2009,23.528,1669.0,28395000.0
Afghanistan,AFG,2010,23.737,1685.0,29186000.0
Afghanistan,AFG,2011,23.948,1792.0,30117000.0
Afghanistan,AFG,2012,24.16,1945.0,31161000.0
Albania,ALB,1800,,,410445.0
Albania,ALB,1801,,,411734.0
Albania,ALB,1802,,,413026.0
Albania,ALB,1803,,,414323.0
Albania,ALB,1804,,,415624.0
Albania,ALB,1805,,,416929.0
Albania,ALB,1807,,,419550.0
Albania,ALB,1808,,,420868.0
Albania,ALB,1809,,,422189.0
Albania,ALB,1810,,,423591.0
Albania,ALB,1811,,,424949.0
Albania,ALB,1812,,,426340.0
Albania,ALB,1813,,,427763.0
Albania,ALB,1814,,,429220.0
Albania,ALB,1815,,,430711.0
Albania,ALB,1816,,,432235.0
Albania,ALB,1817,,,433792.0
Albania,ALB,1818,,,435384.0
Albania,ALB,1819,,,437010.0
Albania,ALB,1821,,,440367.0
Albania,ALB,1822,,,442097.0
Albania,ALB,1823,,,443863.0
Albania,ALB,1824,,,445665.0
Albania,ALB,1825,,,447502.0
Albania,ALB,1826,,,449375.0
Albania,ALB,1827,,,451285.0
Albania,ALB,1828,,,453231.0
Albania,ALB,1829,,,455214.0
Albania,ALB,1830,,,457234.0
Albania,ALB,1831,,,459291.0
Albania,ALB,1832,,,461357.0
Albania,ALB,1833,,,463433.0
Albania,ALB,1834,,,465518.0
Albania,ALB,1835,,,467613.0
Albania,ALB,1836,,,469716.0
Albania,ALB,1837,,,471830.0
Albania,ALB,1838,,,473953.0
Albania,ALB,1839,,,476085.0
Albania,ALB,1840,,,478227.0
Albania,ALB,1841,,,480496.0
Albania,ALB,1842,,,482893.0
Albania,ALB,1843,,,485419.0
Albania,ALB,1844,,,488078.0
Albania,ALB,1845,,,490869.0
Albania,ALB,1846,,,493796.0
Albania,ALB,1847,,,496859.0
Albania,ALB,1848,,,500062.0
Albania,ALB,1849,,,503404.0
Albania,ALB,1850,,,506889.0
Albania,ALB,1851,,,510780.0
Albania,ALB,1852,,,514821.0
Albania,ALB,1853,,,519014.0
Albania,ALB,1854,,,523361.0
Albania,ALB,1855,,,527865.0
Albania,ALB,1856,,,532526.0
Albania,ALB,1857,,,537348.0
Albania,ALB,1858,,,542333.0
Albania,ALB,1859,,,547483.0
Albania,ALB,1860,,,552800.0
Albania,ALB,1861,,,558285.0
Albania,ALB,1862,,,563821.0
Albania,ALB,1863,,,569410.0
Albania,ALB,1864,,,575051.0
Albania,ALB,1865,,,580746.0
Albania,ALB,1866,,,586494.0
Albania,ALB,1867,,,592297.0
Albania,ALB,1868,,,598154.0
Albania,ALB,1869,,,604067.0
Albania,ALB,1870,,658.0,610036.0
Albania,ALB,1871,,,616061.0
Albania,ALB,1872,,,622143.0
Albania,ALB,1873,,,628113.0
Albania,ALB,1874,,,634308.0
Albania,ALB,1875,,,640561.0
Albania,ALB,1876,,,646873.0
Albania,ALB,1877,,,653080.0
Albania,ALB,1878,,,659507.0
Albania,ALB,1880,,,672545.0
Albania,ALB,1881,,,679004.0
Albania,ALB,1882,,,685682.0
Albania,ALB,1883,,,692426.0
Albania,ALB,1884,,,699096.0
Albania,ALB,1885,,,705996.0
Albania,ALB,1886,,,712988.0
Albania,ALB,1887,,,719888.0
Albania,ALB,1888,,,727055.0
Albania,ALB,1889,,,734321.0
Albania,ALB,1890,,882.0,741690.0
Albania,ALB,1891,,,749160.0
Albania,ALB,1892,,,756735.0
Albania,ALB,1893,,,764415.0
Albania,ALB,1894,,,772202.0
Albania,ALB,1895,,,780097.0
Albania,ALB,1896,,,788036.0
Albania,ALB,1897,,,795992.0
Albania,ALB,1898,,,803964.0
Albania,ALB,1900,,1011.0,819951.0
Albania,ALB,1901,,,827966.0
Albania,ALB,1902,,,836031.0
Albania,ALB,1903,,,844038.0
Albania,ALB,1904,,,852043.0
Albania,ALB,1905,,,860044.0
Albania,ALB,1906,,,868121.0
Albania,ALB,1907,,,876112.0
Albania,ALB,1908,,,884339.0
Albania,ALB,1909,,,892676.0
Albania,ALB,1910,,1152.0,901124.0
Albania,ALB,1911,,,909604.0
Albania,ALB,1913,,1197.0,925945.0
Albania,ALB,1914,,,932486.0
Albania,ALB,1915,,,937916.0
Albania,ALB,1916,,,943378.0
Albania,ALB,1918,,,953764.0
Albania,ALB,1919,,,958841.0
Albania,ALB,1920,,,963958.0
Albania,ALB,1921,,,969107.0
Albania,ALB,1922,,,974278.0
Albania,ALB,1923,,,979450.0
Albania,ALB,1924,,,984276.0
Albania,ALB,1925,,,989448.0
Albania,ALB,1926,,,994619.0
Albania,ALB,1927,,,1000135.0
Albania,ALB,1928,,,1005306.0
Albania,ALB,1929,,1367.0,1010478.0
