Year,Urban (%),GDP per capita (int.-$) ($),Population
1800.0,30.783799999999996,2067.8,3280000.0
1801.0,30.783799999999996,2067.8,3280000.0
1802.0,30.783799999999996,2067.8,3280000.0
1803.0,30.783799999999996,2067.8,3280000.0
1804.0,30.783799999999996,2067.8,3280000.0
1805.0,30.783799999999996,2067.8,3280000.0
1806.0,30.783799999999996,2067.8,3280000.0
1807.0,30.783799999999996,2067.8,3280000.0
1808.0,30.783799999999996,2067.8,3280000.0
1809.0,30.783799999999996,2067.8,3280000.0
1810.0,30.783799999999996,2067.8,3280000.0
1811.0,30.783799999999996,2828.0,3280779.0
1812.0,44.3486,2991.2,3282342.0
1813.0,47.37499999999999,4007.0,3284692.0
1814.0,51.72180000000001,7730.4,3287834.0
1815.0,56.528000000000006,7700.0,3291770.0
1816.0,39.3142,5332.8,3296506.0
1817.0,53.1754,24809.0,3302044.0
1818.0,53.8534,3852.0,3308390.0
1819.0,36.1968,1525.2,3315547.0
1820.0,67.4182,7707.2,3323519.0
1821.0,55.30800000000001,8027.8,3332311.0
1822.0,45.6592,6145.6,3341926.0
1823.0,48.8618,21388.4,3352368.0
1824.0,49.825599999999994,1673.2,3363642.0
1825.0,47.963,2832.0,3375751.0
1826.0,29.4942,3436.8,3388701.0
1827.0,56.032,3670.6,3402494.0
1828.0,27.3368,5747.6,3417136.0
1829.0,39.226800000000004,3354.4,3432630.0
1830.0,43.58540000000001,3322.0,3448982.0
1831.0,41.43579999999999,3535.6,3466194.0
1832.0,31.333999999999996,9947.8,3483492.0
1833.0,50.2996,4065.8,3500877.0
1834.0,46.7228,6671.2,3518348.0
1835.0,44.37660000000001,3687.2,3535906.0
1836.0,50.6788,7631.2,3553552.0
1837.0,18.9258,3326.0,3571286.0
1838.0,28.963,1942.6,3589109.0
1839.0,39.20819999999999,3015.4,3607021.0
1840.0,57.513400000000004,5172.8,3625022.0
1841.0,26.924,5163.6,3643112.0
1842.0,39.8868,3597.4,3661294.0
1843.0,30.552599999999995,2219.0,3679565.0
1844.0,51.52479999999999,3890.0,3697928.0
1845.0,42.1078,6006.4,3716383.0
1846.0,35.1846,3605.6,3734930.0
1847.0,41.89040000000001,5256.0,3753569.0
1848.0,42.40560000000001,1474.2,3772301.0
1849.0,31.440200000000004,2954.4,3791127.0
1850.0,33.4486,3224.8,3810047.0
1851.0,35.068999961853024,1828.4,3826140.0
1852.0,38.95960000000001,11991.4,3842299.0
1853.0,63.5592,13949.6,3858524.0
1854.0,55.95880000000001,9397.6,3874815.0
1855.0,42.72840000000001,2210.0,3891173.0
1856.0,45.26219999999999,16233.8,3907598.0
1857.0,26.825200000000002,2313.8,3924089.0
1858.0,22.343400000000003,1796.8,3940648.0
1859.0,39.9572,2525.6,3957274.0
1860.0,61.44500000000001,7130.2,3973968.0
1861.0,52.205999999999996,4654.0,3991172.0
1862.0,47.8932,7328.2,4008889.0
1863.0,47.5466,13254.2,4027125.0
1864.0,38.486399999999996,7615.8,4045883.0
1865.0,30.9318,3827.8,4065170.0
1866.0,37.819599999999994,7037.8,4084989.0
1867.0,66.1802,12308.6,4105346.0
1868.0,56.757600000000004,13553.8,4126245.0
1869.0,35.444399999999995,4710.6,4147692.0
1870.0,52.9174,7839.2,4169690.0
1871.0,47.5136,5536.6,4192245.0
1872.0,47.37779999999999,5161.4,4215362.0
1873.0,43.605399999999996,2911.6,4236341.0
1874.0,24.672800000000002,2324.2,4260730.0
1875.0,42.138799999999996,4273.4,4285744.0
1876.0,46.112,6323.6,4311388.0
1877.0,33.2664,1678.6,4336107.0
1878.0,39.528000000000006,8010.2,4363439.0
1879.0,48.6352,9137.2,4391478.0
1880.0,54.0988,16470.8,4419695.0
1881.0,60.04639999999999,12805.6,4447479.0
1882.0,42.077000000000005,10445.8,4476050.0
1883.0,21.330000000000002,1526.8,4504802.0
1884.0,34.764000305175784,4551.2,4533190.0
1885.0,41.56079999999999,2416.8,4562304.0
1886.0,53.2272,12456.8,4591602.0
1887.0,22.690999999999995,5920.0,4620608.0
1888.0,56.0274,12044.8,4650274.0
1889.0,40.5402,3746.8,4680128.0
1890.0,28.916000000000004,1750.6,4710171.0
1891.0,41.4482,4880.6,4740404.0
1892.0,59.30139999999999,26270.2,4770828.0
1893.0,32.0812,2363.8,4801444.0
1894.0,36.3916,7897.2,4832253.0
1895.0,41.4788,5302.8,4863258.0
1896.0,44.2412,5347.6,4894458.0
1897.0,57.022400000000005,6755.4,4925855.0
1898.0,37.5158,4206.0,4957450.0
1899.0,60.51700000000001,5651.6,4989245.0
1900.0,51.974599999999995,11167.6,5021241.0
1901.0,41.732,4187.2,5053439.0
1902.0,40.2918,10829.8,5085403.0
1903.0,68.1926,23248.0,5118005.0
1904.0,32.83240000000001,7212.6,5150814.0
1905.0,22.226200000000002,2148.2,5183829.0
1906.0,50.681799999999996,5938.4,5217053.0
1907.0,43.6724,8112.2,5249854.0
1908.0,52.0904,5480.6,5283495.0
1909.0,39.1914,10194.6,5317347.0
1910.0,54.5894,5355.2,5351413.0
1911.0,49.0118,11336.0,5385509.0
1912.0,47.45799999999999,14861.8,5420004.0
1913.0,38.0112,6293.0,5459010.0
1914.0,29.333999999999996,9613.0,5502589.0
1915.0,37.6268,10915.8,5550805.0
1916.0,32.57860000000001,7397.8,5599440.0
1917.0,37.166799999999995,7011.4,5648497.0
1918.0,54.133399999999995,3866.6,5704092.0
1919.0,36.715199999999996,2897.4,5758692.0
1920.0,31.801800000000004,4870.0,5813814.0
1921.0,43.995799999999996,7973.8,5869464.0
1922.0,54.1708,9076.2,5925647.0
1923.0,23.7208,2531.6,5982368.0
1924.0,21.2622,5682.2,6039631.0
1925.0,37.459799999999994,5504.0,6097443.0
1926.0,43.712,7514.8,6155808.0
1927.0,44.772800000000004,4574.2,6214731.0
1928.0,21.8264,1398.6,6274219.0
1929.0,56.9822,12760.2,6334276.0
1930.0,55.46040000000001,11773.0,6394908.0
1931.0,31.203200000000002,4142.8,6456120.0
1932.0,45.9778,9496.8,6517918.0
1933.0,33.5744,2216.8,6580308.0
1934.0,24.942,5182.0,6643295.0
1935.0,38.206599999999995,2362.4,6706885.0
1936.0,37.344800000000006,12280.8,6771083.0
1937.0,51.151799999999994,13205.4,6835896.0
1938.0,25.132600000000004,1341.6,6901330.0
1939.0,42.2524,11377.6,6967389.0
1940.0,43.5676,3961.2,7034081.0
1941.0,48.4918,12867.8,7101412.0
1942.0,44.5894,4885.6,7169387.0
1943.0,29.397000000000002,4108.4,7238012.0
1944.0,45.495999999999995,5458.4,7307295.0
1945.0,39.7726,6426.2,7377241.0
1946.0,30.420200000000005,2408.6,7447856.0
1947.0,37.8852,4623.6,7519147.0
1948.0,48.471,5183.4,7591120.0
1949.0,43.9604,4442.6,7663783.0
1950.0,6.0,2392.0,7752000.0
1951.0,6.208,2422.0,7840000.0
1952.0,6.422,2462.0,7936000.0
1953.0,6.643,2568.0,8040000.0
1954.0,6.872,2576.0,8151000.0
1955.0,7.107,2579.0,8271000.0
1956.0,7.351,2644.0,8399000.0
1957.0,7.601,2593.0,8535000.0
1958.0,7.86,2684.0,8680000.0
1959.0,8.126,2705.0,8834000.0
1960.0,8.401,2744.0,8997000.0
1961.0,8.684,2708.0,9169000.0
1962.0,8.976,2695.0,9351000.0
1963.0,9.276,2683.0,9543000.0
1964.0,9.586,2673.0,9745000.0
1965.0,9.904,2670.0,9956000.0
1966.0,10.233,2633.0,10175000.0
1967.0,10.57,2642.0,10400000.0
