credit.policy,int.rate,installment,log.annual.inc,dti,fico,days.with.cr.line,revol.bal,revol.util,inq.last.6mths,delinq.2yrs,pub.rec,not.fully.paid,purpose
1,0,829,11,19,737,5640,28854,52,0,0,0,0,debt_consolidation
1,0,228,11,14,707,2760,33623,77,0,0,0,0,credit_card
1,0,367,10,12,682,4710,3511,26,1,0,0,0,debt_consolidation
1,0,162,11,8,712,2700,33667,73,1,0,0,0,debt_consolidation
1,0,103,11,15,667,4066,4740,40,0,1,0,0,credit_card
1,0,125,12,17,727,6120,50807,51,0,0,0,0,credit_card
1,0,194,11,4,667,3180,3839,77,0,0,1,1,debt_consolidation
1,0,131,11,11,722,5116,24220,69,0,0,0,1,all_other
1,0,87,11,17,682,3989,69909,51,1,0,0,0,home_improvement
1,0,84,10,10,707,2730,5630,23,1,0,0,0,debt_consolidation
1,0,360,10,22,677,6713,13846,71,2,0,1,0,debt_consolidation
1,0,254,12,9,662,4298,5122,18,2,1,0,0,debt_consolidation
1,0,316,11,15,767,6520,6068,17,0,0,0,0,debt_consolidation
1,0,93,12,6,747,4384,3021,5,0,1,0,0,small_business
1,0,210,9,10,727,1560,6282,45,0,0,0,0,debt_consolidation
1,0,328,11,13,702,8160,5394,53,1,0,0,0,major_purchase
1,0,78,11,2,672,3896,2211,88,0,0,0,0,all_other
1,0,477,12,7,797,6511,7586,53,1,0,0,0,credit_card
1,0,584,10,4,712,2760,8311,60,0,0,0,0,debt_consolidation
1,0,174,11,3,667,1127,591,84,3,0,0,0,major_purchase
1,0,188,11,16,772,4889,29797,23,1,0,0,0,all_other
1,0,474,11,3,797,11951,5656,28,0,0,0,0,all_other
1,0,340,12,8,662,1940,21162,58,0,0,0,0,credit_card
1,0,485,12,7,782,5640,16931,35,1,0,0,0,credit_card
1,0,320,11,9,672,3761,4822,58,0,0,1,0,debt_consolidation
1,0,159,12,10,712,1554,14354,37,0,2,0,0,all_other
1,0,155,11,0,802,4650,1576,6,1,0,0,0,all_other
1,0,255,10,14,662,1319,4175,52,0,1,0,0,debt_consolidation
1,0,155,12,0,772,4517,3164,14,0,0,0,0,all_other
1,0,155,12,4,812,6779,85607,1,0,0,0,0,all_other
