Title,location,Posting_date,DESCRIPTION,BASIC QUALIFICATIONS,PREFERRED QUALIFICATIONS
Software Development Engineer,"IN, KA, Bangalore ","March  1, 2018","Amazon is driven by being “the world’s most customer centric company. In the Health, Safety, Sustainability, Security, and Compliance (HS3C) organization, we own ensuring that all products at Amazon are 100% complaint with all legal, trade, product safety, and food safety requirements. We’re obsessed with the safety of all our customers and workers, creating a world-class experience for our millions of vendors and sellers world-wide, and inventing the best business and regulatory models for safe and sustainable supply chains in our industries.As a Software Engineer you will work with your manager and team of highly skilled software, data, and test engineers to invent, design, and build highly stable and performant software. You will work with your internal customers to balance customer requirements with team requirements and help your team and business evolve. You will be using the latest AWS and industry technologies to deliver a one-stop authoritative compliance ecosystem for Amazon, keeping our customers safe and products compliant, building the software creating the world’s most authoritative data set on everything companies and customers need to know related to the safety and compliance of products and supply chains. You will collaborate with leaders of partner teams developing our social responsibility and packaging optimization systems.Each and every person buying, selling, or handling Amazon products will be your customer.If you’d like to make a real-world difference by working hard, having fun, and making history, this is the team for you!Key Responsibilities:· Design and develop critical components of world class, scalable distributed systems.· Mentor junior Software Development Engineers.· Interface with our internal customers and technical leadership to inform and understand requirements and priorities.· Take on hard, ambiguous problems and articulate solutions that will to serve the broader Amazon.· Help develop long-term technical strategies in the product supply chain space.","· Bachelor’s Degree in Computer Science or related degree· 4+ years professional experience in software development· Computer Science fundamentals in object-oriented design· Computer Science fundamentals in data structures· Computer Science fundamentals in algorithm design, problem solving, and complexity analysis· Proficiency in Java, C#, Scala, or other similar programming languages","· Experience building complex software systems that have been successfully delivered to customers· Knowledge of professional software engineering practices & best practices for the full software development life cycle, including coding standards, code reviews, source control management, build processes, testing, and operations· Ability to take a project from scoping requirements through actual launch of the project· Experience in communicating with users, other technical teams, and management to collect requirements, describe software product features, and technical designs.· Experience influencing software engineering best practices within your team· Hands-on expertise in disparate technologies, typically ranging from front-end user interfaces through to back-end systems and all points in between· Expertise in one or more AWS products/servicesAmazon is an Equal Opportunity-Affirmative Action Employer - Minority / Female / Disability / Veteran / Gender Identity / Sexual Orientation"
Software Development Engineer - Amazon Lex,"US, WA, Seattle ","March  1, 2018","Have you ever wondered what it takes to build intelligence into enterprise systems so that we can enable near human-like conversations with our systems? Come join Amazon Lex where we are working on state-of-the-art conversational approaches.Why Amazon Lex?Amazon Lex is a platform for building conversational interfaces into any application using voice and text. Amazon Lex provides the advanced deep learning functionalities of automatic speech recognition (ASR) for converting speech to text, and natural language understanding (NLU) to recognize the intent of the text, to enable you to build applications with highly engaging user experiences and lifelike conversational interactions. With Amazon Lex, the same deep learning technologies that power Amazon Alexa are now available to any developer, enabling you to quickly and easily build sophisticated, natural language, conversational bots (“chatbots”).What is special about the team?Come be a part of a well-balanced team with diverse experience that is making strides in evolving the conversational platform for Amazon Web Services (AWS). The team, a tight-knit group, operates in a fast-paced and fun environment where accuracy, timeliness, quality and security form the operative cornerstones. As owners of the entire lifecycle, team members participate in a shared customer resolution program to delight customers. Additionally, the team has collaborative leaders in various roles - product development, natural language science and engineering management who form the critical support structure for delivering innovative features.What will I work on?Come work on new features as well as green-field projects where you can make a significant positive impact on a community of international customers. As a Software Development Engineer, you should have a passion for delivery, drive for excellence and penchant for quality. You will practice development practices such as load testing and continuous deployment while solving technical challenges in system design, distributed computing, algorithms and back-end services.","· Bachelors Degree in Computer Science or a related field (MS or PhD preferred)· At least 5 years of software engineering experience· 3+ years of Distributed Systems experience· Experience with an object oriented language like Java· Knowledge of Computer Science fundamentals in data structures, algorithm design, problem solving and complexity analysis","· Masters or PhD in Computer Science· Experience scaling features and customers on V1 systems· Good communication skills with both technical and business people. Ability to speak at a level appropriate for the audience.· Strong architecture and design skills; be able to design, build and lead others to build systems that will be robust in the face of change.· The ability to lead a team of engineers to solve big problems with significant ambiguity. Ability to work directly with operations and business users to plan projects, track timelines and turn the ambiguous into specific goals and targets.· Experience developing in a Linux environment· Experience using modern tools and environments (ex. IntelliJ, Eclipse, Maven, Git)· Experience with Behavior-Driven/Test-Driven Development, XUnit, Mocking frameworks· Experience with data analysis in large-scale No-SQL environments (ex. Dynamo DB) is a plus.· Experience with asynchronous communication architectures involving SNS, SQS, etc. is valued.· Experience with AWS products like EC2, S3, RDS is beneficial.· Familiarity with natural language processing and understanding systems."
Software Development Engineer - Amazon Lex,"US, WA, Seattle ","March  1, 2018","Have you ever wondered what it takes to build intelligence into enterprise systems so that we can enable near human-like conversations with our systems? Come join Amazon Lex where we are working on state-of-the-art conversational approaches.Why Amazon Lex?Amazon Lex is a platform for building conversational interfaces into any application using voice and text. Amazon Lex provides the advanced deep learning functionalities of automatic speech recognition (ASR) for converting speech to text, and natural language understanding (NLU) to recognize the intent of the text, to enable you to build applications with highly engaging user experiences and lifelike conversational interactions. With Amazon Lex, the same deep learning technologies that power Amazon Alexa are now available to any developer, enabling you to quickly and easily build sophisticated, natural language, conversational bots (“chatbots”).What is special about the team?Come be a part of a well-balanced team with diverse experience that is making strides in evolving the conversational platform for Amazon Web Services (AWS). The team, a tight-knit group, operates in a fast-paced and fun environment where accuracy, timeliness, quality and security form the operative cornerstones. As owners of the entire lifecycle, team members participate in a shared customer resolution program to delight customers. Additionally, the team has collaborative leaders in various roles - product development, natural language science and engineering management who form the critical support structure for delivering innovative features.What will I work on?Come work on new features as well as green-field projects where you can make a significant positive impact on a community of international customers. As a Software Development Engineer, you should have a passion for delivery, drive for excellence and penchant for quality. You will practice development practices such as load testing and continuous deployment while solving technical challenges in system design, distributed computing, algorithms and back-end services.","· Bachelors Degree in Computer Science or a related field (MS or PhD preferred)· At least 5 years of software engineering experience· 3+ years of Distributed Systems experience· Experience with an object oriented language like Java· Knowledge of Computer Science fundamentals in data structures, algorithm design, problem solving and complexity analysis","· Masters or PhD in Computer Science· Experience scaling features and customers on V1 systems· Good communication skills with both technical and business people. Ability to speak at a level appropriate for the audience.· Strong architecture and design skills; be able to design, build and lead others to build systems that will be robust in the face of change.· The ability to lead a team of engineers to solve big problems with significant ambiguity. Ability to work directly with operations and business users to plan projects, track timelines and turn the ambiguous into specific goals and targets.· Experience developing in a Linux environment· Experience using modern tools and environments (ex. IntelliJ, Eclipse, Maven, Git)· Experience with Behavior-Driven/Test-Driven Development, XUnit, Mocking frameworks· Experience with data analysis in large-scale No-SQL environments (ex. Dynamo DB) is a plus.· Experience with asynchronous communication architectures involving SNS, SQS, etc. is valued.· Experience with AWS products like EC2, S3, RDS is beneficial.· Familiarity with natural language processing and understanding systems."
 Software Development Manager - Amazon Cloud Cam,"US, CA, Cupertino ","March  1, 2018","The Amazon Devices team designs and engineers high-profile consumer electronics, including the innovative Cloud Cam and Alexa family of products. We have also produced groundbreaking devices such as Echo Show and the Echo Look to add Computer Vision to Alexa. What will you help us create?Work hard. Have fun. Make history.The RoleAs a Software Development Manager – Amazon Cloud Cam, you will be responsible for leading a team of engineers working on cutting edge large scale cloud services that will be used by millions of upcoming Amazon Cloud Cam customers. This position gives you the opportunity to work with world class Artificial Intelligence and Machine Learning experts, to build the cloud systems that allow their algorithms to be used by our customers. The role will be working on continuing the development of Cloud Cam, and working with within the larger Amazon ecosystem. Work with streaming video, large scale deployments and high performance computing, both CPU and GPU related, as well as solve distributed systems problems. This position involves team management, design, architecture and operation of large scale cloud systems.Key responsibilities:· Working with external teams to bring Cloud Cam technology to their roadmap· Ownership of the overall systems development life cycle.· Execution against project plans and timely delivery of committed results.· Management of day-to-day activities of the engineering team within an Agile/Scrum environment.· Management of departmental resources, staffing, and mentoring.· Building, enhancing and maintaining a best-in-class engineering team.· Working closely with the engineers to architect and develop the best technical designs.· Report on status of development, quality, operations, and system performance to management.· Maintenance and enhancement of software frameworks for development.",· Bachelor’s Degree in Computer Science or related field.· 7+ years’ experience building successful production software systems.· 3+ years people management experience.· Knowledge of REST services· Experience programming in Java,"· Master’s degree in Computer Science or related field· 10+ years of experience doing hands-on software development· Deep understanding of cloud software development in a team and a track record of shipping software on time· Experience with working on AWS services (S3, DynamoDB, EC2).· Strong communication and interpersonal skills· Experience defining system architectures and exploring technical feasibility tradeoffs· Experience with video streaming technologies such as WebRTC· Excellence in technical communication with peers, non-technical cohorts and remote teams· Strong track record of project delivery for large, cross-functional projects· Strong business and technical vision· A solid grounding in Computer Science fundamentals.· Excellent verbal and written communication skillsAmazon is an Equal Opportunity Employer – Minority / Women / Disability / Veteran / Gender Identity / Sexual Orientation"
UI Developer ,"US, WA, Seattle ","February 28, 2018","How can we build talent pipelines to support Amazon’s growth? What is important for talent to be successful at Amazon? How can we better predict talent movement (promotions, transfers, attrition) and quantitatively identify the root causes? When does internal movement make the biggest impact on Amazon talent? These are among the most important questions at Amazon today.As a User Interface (UI) Developer on the Worldwide Operations Talent Products Team you will have an opportunity to collaborate with a team of economists, applied research scientists, software development engineers, and data engineers in answering these questions and developing products for use by internal operations leaders to manage these insights at scale. This team will shape the strategic direction and inform talent decisions at the highest levels of Worldwide Operations, helping us to become the world’s most scientific and technically proficient Human Resource organization.If you are a candidate who is passionate about helping those around you reaching their fullest human potential, if you see technology as a way to disrupt and reimagine talent management processes and leverage modern software engineering techniques, then you may be the ideal person for this position.Responsibilities:· Develop internal applications that are elegant and useful solutions to solve complex business problems by working across various teams, understanding the needs of our customers.· Design and develop front-end interfaces, underlying APIs across a number of programming languages· Ruthlessly prioritize development workload against available resources and level of impact.· Develop and regularly report on success KPI’s that measure return on investment of development efforts against improve productivity.· Identify service and system enhancements through customer interaction and work directly with them to provide what they need (not just what they want).","· Bachelors Degree in Computer Science or a related technical discipline or equivalent experience· 4+ years of experience building medium-to-large, multi-tiered web applications·Self-motivated and capable of working in an independent fashion· Proficiency in JavaScript, HTML, CSS, and related web technologies· Strong sensibilities for UX and design· Experience designing large-scale web applications built with modern technologies· Experience with modern JavaScript (ES6), modern libraries and tooling (Node, React, Redux, Angular, etc.)· Experience with modern browser technologies and cross-browser compatibility issues· Experience building an environment for rapid development and continual integration· Working knowledge of common storage methodologies (e.g. S3, Redshift, etc)","· Familiarity with R and Shiny web framework· Experience with internal business applications (such as Human Resources, Finance, Recruiting, etc)· Experience with Python, Java, or C++· Experience building rich data-driven web applications"
SDE,"US, WA, Seattle ","February 28, 2018","Would you like to be one of the leaders of a team that is solving new business challenges through innovative technology?The Team: Amazon Books is a brick and mortar store that offers a curated selection of books and an array of Amazon devices. It is a magical experience that combines the best parts of a neighborhood bookstore with Amazon.com’s low prices and the expertise of passionate, knowledgeable staff who tailor their approach to the unique needs of each customer.The team is building brand new Product Search and Discovery solutions for the Amazon Books customer. We will help customers discover the products they would like faster and enable them to make a purchase they will be delighted with. Customers are asking questions like “Do you have it in the store?”, “Which store is it available in?”, “What would you recommend for me?” To give them the answer, we need to use innovative technology to identify where the customer is physically located and search through millions of records while maintaining low latency. We use Amazon’s massive amount of data to personalize the customer experience and connect their online and offline presence.The Role: Everyone on the team needs to be entrepreneurial, wear many hats and cooperate in a highly collaborative environment that’s more startup than big company. As a Software Development Engineer in Amazon Books, you will collaborate with a team of talented engineers to build highly-scaled, low-latency solutions for frontend (Javascript, CSS, hybrid and native iOS/Android), middle tier (Java, Spring) and backend (non-relational databases) as well as identify and evaluate new technology options for the challenges we are trying to solve. We are looking for a smart engineer who can effectively deal with ambiguity and work independently to clarify requirements, build quick prototypes and deliver results quickly. You are excited by technology, passionate about learning and should view every customer interaction as an opportunity to create an incredible customer experience. Come join a team in which builders build software and delight customers! You will learn a ton, have fun and make a positive impact on millions of people.In this role:· You will encounter challenging, novel situations every day and work on them in touch with with multiple technical teams across Amazon in different locations.· Youll need to be comfortable with a degree of ambiguity that’s higher than most projects and relish the idea of solving problems that, frankly, haven’t been taken on at scale before. Along the way, we guarantee that you’ll learn a ton, have fun and make a positive impact on millions of people.","· Bachelors degree in Computer Science, Computer Engineering or related technical discipline· 7+ years professional experience in software development· Fluency in Java, C#, or other object-oriented languages.· Passion and established experience for full stack software development· Proficiency in software system design· Familiarity with one or more of: Perl or another scripting language; prior experience developing mobile applications (IOS and Android).· Expertise in data structures, algorithms, object-oriented design and complexity analysis.· Ability to produce bullet-proof code that is fault-tolerant, efficient and maintainable.· Working knowledge of UNIX systems","· Master’s degree in Computer Science or related field· Thorough understanding of service oriented architecture, distributed systems· Ability to work independently and collaboratively with cross-functional business and software development teams.· Experience optimizing for short term execution while planning for long term technical capabilities. Ability and willingness to multi-task and learn new technologies quickly.· Obsession with quality and customer experience· Ability to effectively communicate with colleagues at various levels of the organization· Self-directed nature, entrepreneurship spirit and flexibility· Self-directed nature, entrepreneurship spirit and flexibility to wear many hats"
"Software Engineer- Mobile Analytics, AWS Pinpoint","US, WA, Seattle ","February 28, 2018","Are you passionate about the intersection of cloud computing, mobile applications, and BigData analytics? Join the Amazon Pinpoint team to build large-scale real-time analytics application for mobile app developers and enterprises to engage their users. Many of the world’s top mobile apps use our services to power their applications. Enterprise customers use our services to analyze customer interaction, design and execute a multi-channel engagement campaign.AWS Pinpoint services are built using the next generation cloud technologies. You will enable our customers to use the serverless microservices way to create analytics, an approach that lets customers turn business logic and application code into scalable, fault-tolerant production systems without requiring every developer to become an expert in distributed systems, deployment technologies, and infrastructure management. The best part of working with Amazon Pinpoint is the chance to help customers solve exciting new challenges and create new app experiences every day that impact millions of users. Our customers are innovators, and you will have the chance to work with them to understand their challenges and design new offerings. Together, we’ll shape not just our own products, but the direction of the industry. Learn more about our business at https://aws.amazon.com/pinpoint/.We are looking for senior software developers who long for the opportunity to design and build large-scale systems with global impact. You will get a unique opportunity to build full-stack applications in the mobile and web spaces that involve working with iOS, Android, and React as well as different AWS services including Cognito, Lambda, API Gateway, S3, Kinesis, EMR, Redshift, Dynamo, SNS, Athena, and QuickSight. We need your help to build a platform that will ingest trillions of messages from billions of devices. You will make applications that leverage big data technology and machine learning to improve user engagement with mobile apps. Your messaging and targeting applications will power the world’s leading social media, gaming, sports, educational, and consumer applications. You will work closely with Product Management to best address our customers needs and help shape the product for success by creating engaging and dynamic experiences.What does it take to succeed in this role? You need to be creative, responsible, and able to dig deep into AWS emerging technologies. You will think about business opportunities, operational issues, architectural diagrams, and the customer perspective in the course of a single conversation. You have a deep mastery of programming languages, distributed system design, and performance. Someone who makes the team both productive and fun to work in. Excited to learn from others while bringing your own novel capabilities and perspectives. Our team members thrive in a hands-on environment where everyone actively participates in product definition, technical architecture review, iterative development, code review, and operations.","· Bachelors Degree in Computer Science or related field· Expert knowledge of one of the following programming languages: Java, C and C++· 8+ years of hands on experience in software development, including design, implementation, debugging, and support, building scalable system software and/or Services· Deep understanding of distributed systems and web services technology· Strong at applying data structures, algorithms, and object oriented design, to solve challenging problems· Experience working with REST and RPC service patterns and other client/server interaction models· Track record of building and delivering mission critical, 24x7 production software systems· Bachelor’s degree in Computer Science or equivalent","· Master Degree or PhD in Computer Science, Computer Engineering or related field.· Experience with BigData technology e.g. Hadoop, and Spark· iOS and Android SDK experienceAmazon is an Equal Opportunity-Affirmative Action Employer – Minority / Female / Disability / Veteran / Gender Identity / Sexual Orientation."
"Software Engineer- Big Data Analytics, AWS Pinpoint","US, WA, Seattle ","February 28, 2018","Are you passionate about the intersection of cloud computing, mobile applications, and BigData analytics? Join the Amazon Pinpoint team to build large-scale real-time analytics application for mobile app developers and enterprises to engage their users. Many of the world’s top mobile apps use our services to power their applications. Enterprise customers use our services to analyze customer interaction, design and execute a multi-channel engagement campaign.AWS Pinpoint services are built using the next generation cloud technologies. You will enable our customers to use the serverless microservices way to create analytics, an approach that lets customers turn business logic and application code into scalable, fault-tolerant production systems without requiring every developer to become an expert in distributed systems, deployment technologies, and infrastructure management. The best part of working with Amazon Pinpoint is the chance to help customers solve exciting new challenges and create new app experiences every day that impact millions of users. Our customers are innovators, and you will have the chance to work with them to understand their challenges and design new offerings. Together, we’ll shape not just our own products, but the direction of the industry. Learn more about our business at https://aws.amazon.com/pinpoint/.We are looking for senior software developers who long for the opportunity to design and build large-scale systems with global impact. You will get a unique opportunity to build full-stack applications in the mobile and web spaces that involve working with iOS, Android, and React as well as different AWS services including Cognito, Lambda, API Gateway, S3, Kinesis, EMR, Redshift, Dynamo, SNS, Athena, and QuickSight. We need your help to build a platform that will ingest trillions of messages from billions of devices. You will make applications that leverage big data technology and machine learning to improve user engagement with mobile apps. Your messaging and targeting applications will power the world’s leading social media, gaming, sports, educational, and consumer applications. You will work closely with Product Management to best address our customers needs and help shape the product for success by creating engaging and dynamic experiences.What does it take to succeed in this role? You need to be creative, responsible, and able to dig deep into AWS emerging technologies. You will think about business opportunities, operational issues, architectural diagrams, and the customer perspective in the course of a single conversation. You have a deep mastery of programming languages, distributed system design, and performance. Someone who makes the team both productive and fun to work in. Excited to learn from others while bringing your own novel capabilities and perspectives. Our team members thrive in a hands-on environment where everyone actively participates in product definition, technical architecture review, iterative development, code review, and operations.","· Bachelors Degree in Computer Science or related field· Expert knowledge of one of the following programming languages: Java, C and C++· 8+ years of hands on experience in software development, including design, implementation, debugging, and support, building scalable system software and/or Services· Deep understanding of distributed systems and web services technology· Strong at applying data structures, algorithms, and object oriented design, to solve challenging problems· Experience working with REST and RPC service patterns and other client/server interaction models· Track record of building and delivering mission critical, 24x7 production software systems· Bachelor’s degree in Computer Science or equivalent","· Master Degree or PhD in Computer Science, Computer Engineering or related field.· Experience with BigData technology e.g. Hadoop, and Spark· iOS and Android SDK experienceAmazon is an Equal Opportunity-Affirmative Action Employer – Minority / Female / Disability / Veteran / Gender Identity / Sexual Orientation."
Software Development Engineer - Amazon Video,"US, CA, Santa Monica ","February 28, 2018","Amazon Video is disrupting the traditional television and movie industry with a massive library of high-quality media and reliable digital delivery. Our services are engineered for high availability, maximum reach, and cost savings that we can pass on to customers. We enable the world to watch video instantly, across hundreds of devices, whether on the road or from the comfort of a living room sofa. Today, we deliver movies and TV shows to Windows and Mac PCs, portable devices, gaming consoles, smart phones, and smart TVs. We operate in more than 200 countries, and we aspire to grow -- a lot.On the Content Quality Automation team, we write software to automatically detect issues with our video catalog. We use machine learning and cutting-edge simulation techniques to make the computer our eyeballs watching the videos for issues, detecting problems with captions, images, video and audio files. To do this, we cooperate closely with various other teams at Amazon like the Alexa team, AWS Deep Learning and the X-ray team. We also write large scale service to host and run our automated checks.We are looking for talented software development engineers who can contribute to our world-class engineering culture. We deliver meaningful results for customers while simultaneously investing in each team members career and overall skill set. Domain-specific skills in video and machine learning can be learned on the job. At Amazon, every engineer has the opportunity to positively impact millions of customers, and you will be called on to identify and realize these opportunities. Our team works end-to-end through the Amazon Video platform, and our team members have direct ownership of the customer experience.We embrace the challenges of a fast-paced market and evolving technologies, paving the way to universal availability of video and pushing the envelope for streaming quality. You will be encouraged to see the big picture, be innovative, and positively impact millions of customers. This is a young and evolving business where creativity and drive can make a lasting impact on world-wide consumer entertainment.Successful candidates for this position will have a background in Java, C++, or C# and ideally have some knowledge of Ruby. Equally important to these specific skills is a candidates ability to multi-task, adapt quickly to new development environments and changing business requirements, learn new systems, gain new skills, create reliable & maintainable code, and find creative, scalable solutions to difficult problems.The ability to communicate clearly and concisely both written and orally is a key competency as is demonstrable skill as a self-starter. We are looking for candidates who are passionate about delivering consistently great digital media experiences to our customers, particularly those who want to grow within a world-class engineering team.","· Bachelor’s degree in computer science or a related field· At least four years of experience writing production code of increasing complexity· Strong understanding of computer science fundamentals, including algorithms, complexity analysis, data structures, problem solving, and object-oriented analysis and design· Proficiency in at least one of the following: Java, C, C++, C#, Ruby, Python or other strong language· Experience refactoring code and evolving architectures· Experience crafting unit, integration, functional and regression tests",· Master’s degree in computer science or a related field· Experience developing in a Linux environment· Experience applying service-oriented architecture techniques to production use cases
Software Development Engineer - Amazon Video,"US, CA, Santa Monica ","February 28, 2018","Amazon Video is disrupting the traditional television and movie industry with a massive library of high-quality media and reliable digital delivery. Our services are engineered for high availability, maximum reach, and cost savings that we can pass on to customers. We enable the world to watch video instantly, across hundreds of devices, whether on the road or from the comfort of a living room sofa. Today, we deliver movies and TV shows to Windows and Mac PCs, portable devices, gaming consoles, smart phones, and smart TVs. We operate in more than 200 countries, and we aspire to grow -- a lot.On the Content Quality Automation team, we write software to automatically detect issues with our video catalog. We use machine learning and cutting-edge simulation techniques to make the computer our eyeballs watching the videos for issues, detecting problems with captions, images, video and audio files. To do this, we cooperate closely with various other teams at Amazon like the Alexa team, AWS Deep Learning and the X-ray team. We also write large scale service to host and run our automated checks.We are looking for talented software development engineers who can contribute to our world-class engineering culture. We deliver meaningful results for customers while simultaneously investing in each team members career and overall skill set. Domain-specific skills in video and machine learning can be learned on the job. At Amazon, every engineer has the opportunity to positively impact millions of customers, and you will be called on to identify and realize these opportunities. Our team works end-to-end through the Amazon Video platform, and our team members have direct ownership of the customer experience.We embrace the challenges of a fast-paced market and evolving technologies, paving the way to universal availability of video and pushing the envelope for streaming quality. You will be encouraged to see the big picture, be innovative, and positively impact millions of customers. This is a young and evolving business where creativity and drive can make a lasting impact on world-wide consumer entertainment.Successful candidates for this position will have a background in Java, C++, or C# and ideally have some knowledge of Ruby. Equally important to these specific skills is a candidates ability to multi-task, adapt quickly to new development environments and changing business requirements, learn new systems, gain new skills, create reliable & maintainable code, and find creative, scalable solutions to difficult problems.The ability to communicate clearly and concisely both written and orally is a key competency as is demonstrable skill as a self-starter. We are looking for candidates who are passionate about delivering consistently great digital media experiences to our customers, particularly those who want to grow within a world-class engineering team.","· Bachelor’s degree in computer science or a related field· At least four years of experience writing production code of increasing complexity· Strong understanding of computer science fundamentals, including algorithms, complexity analysis, data structures, problem solving, and object-oriented analysis and design· Proficiency in at least one of the following: Java, C, C++, C#, Ruby, Python or other strong language· Experience refactoring code and evolving architectures· Experience crafting unit, integration, functional and regression tests",· Master’s degree in computer science or a related field· Experience developing in a Linux environment· Experience applying service-oriented architecture techniques to production use cases
